gene,region,average_expression,log2FC,pval,adj_pval,direction
ANXA11,Ventral,0.0574,-0.433,1.74e-4,0.00278,de-enriched
SGPL1,Ventral,0.1594,-0.433,1.49e-5,3.2e-4,de-enriched
LOC107054371,Ventral,0.1088,-0.434,0.00258,0.0277,de-enriched
TMEM161A,Ventral,1.5788,-0.435,1.45e-11,1.16e-9,de-enriched
PLSCR1,Ventral,0.063,-0.435,0.0026,0.028,de-enriched
MOCS2,Ventral,0.2667,-0.435,0.00198,0.0224,de-enriched
ALCAM,Ventral,0.0977,-0.436,5.97e-4,0.00818,de-enriched
ADAMTS18,Ventral,1.6055,-0.437,2.55e-11,1.92e-9,de-enriched
KCTD8,Ventral,0.3965,-0.437,2.86e-6,7.13e-5,de-enriched
TENM4,Ventral,1.2008,-0.438,2.35e-12,2.18e-10,de-enriched
GPR27,Ventral,0.2163,-0.438,7.78e-10,4.41e-8,de-enriched
KIRREL3,Ventral,0.3933,-0.438,2.75e-7,8.74e-6,de-enriched
RPS6KA2,Ventral,0.1656,-0.438,0.00188,0.0215,de-enriched
PARP8,Ventral,0.2953,-0.439,7.99e-4,0.0105,de-enriched
TMEM123,Ventral,0.2063,-0.44,8.48e-6,1.94e-4,de-enriched
MYL4,Ventral,0.5387,-0.441,1.41e-4,0.0023,de-enriched
LRP11,Ventral,0.2406,-0.441,6.04e-5,0.00109,de-enriched
HMGA2,Ventral,0.6855,-0.442,1.31e-9,6.99e-8,de-enriched
C21H1orf159,Ventral,0.0408,-0.442,7.53e-6,1.74e-4,de-enriched
NKAIN2,Ventral,2.1403,-0.442,5.25e-9,2.42e-7,de-enriched
EPHA3,Ventral,0.5771,-0.443,3.38e-6,8.31e-5,de-enriched
