gene,region,average_expression,log2FC,pval,adj_pval,direction
ZNF750,Ventral,0.2466,0.846,4.5e-7,1.35e-5,enriched
PAG1,Ventral,0.9062,0.846,6.47e-13,6.67e-11,enriched
LAPTM4B,Ventral,0.1065,0.844,1.76e-7,5.81e-6,enriched
MMP17,Ventral,0.2598,0.84,4.86e-11,3.46e-9,enriched
PLTP,Ventral,0.0195,0.827,1.54e-5,3.29e-4,enriched
SNAP91,Ventral,0.0174,0.827,1.23e-4,0.00204,enriched
LOC101750580,Ventral,0.028,0.826,2.1e-9,1.07e-7,enriched
NPL,Ventral,0.0413,0.826,1.62e-6,4.33e-5,enriched
FRMD5,Ventral,0.0606,0.825,9.07e-8,3.17e-6,enriched
MIR217,Ventral,0.0136,0.819,7.59e-5,0.00133,enriched
TSKU,Ventral,0.0597,0.818,3.31e-9,1.59e-7,enriched
RRAD,Ventral,0.0348,0.818,6.6e-6,1.55e-4,enriched
BHLHE22,Ventral,0.6214,0.818,2.18e-12,2.05e-10,enriched
FRMPD3,Ventral,0.0097,0.818,1.4e-5,3.03e-4,enriched
MAML2,Ventral,0.671,0.814,4.79e-17,1.05e-14,enriched
CRISPLD2,Ventral,0.0736,0.814,1.7e-4,0.00272,enriched
RIPPLY2,Ventral,0.0068,0.814,2.33e-4,0.0036,enriched
SYTL2,Ventral,0.0087,0.812,1.25e-4,0.00207,enriched
ST8SIA5,Ventral,0.017,0.811,6.03e-5,0.00109,enriched
LOC107052653,Ventral,0.0304,0.809,2.79e-4,0.00419,enriched
ITSN2,Ventral,0.3998,0.808,2.46e-19,1.04e-16,enriched
CTNNAL1,Ventral,1.9914,0.802,1.62e-17,4.06e-15,enriched
IFI27L2,Ventral,0.0505,0.801,6.76e-8,2.43e-6,enriched
KCNK10,Ventral,0.0103,0.798,0.00221,0.0244,enriched
GDAP1,Ventral,0.0097,0.794,3.76e-4,0.00546,enriched
LOC112531862,Ventral,0.2033,0.785,2.12e-11,1.63e-9,enriched
ZNF703,Ventral,0.0265,0.785,2.38e-5,4.81e-4,enriched
MID1,Ventral,1.4188,0.784,2.58e-24,3.2200000000000003e-21,enriched
SNCG,Ventral,0.0144,0.782,2.42e-6,6.15e-5,enriched
CASQ2,Ventral,0.0055,0.781,6.82e-4,0.00912,enriched
PTCH1,Ventral,0.4169,0.779,1.04e-8,4.47e-7,enriched
GPC6,Ventral,0.5096,0.777,9.43e-11,6.37e-9,enriched
PLEKHH1,Ventral,0.0885,0.776,1.8e-6,4.75e-5,enriched
LOC112532559,Ventral,0.0573,0.775,4.49e-7,1.35e-5,enriched
HRH3,Ventral,0.0656,0.774,7.67e-12,6.43e-10,enriched
LOC107053451,Ventral,0.0056,0.774,0.00321,0.0334,enriched
CPLX2,Ventral,0.0714,0.77,8.06e-10,4.54e-8,enriched
TRIM25,Ventral,0.0359,0.77,0.00179,0.0207,enriched
PKP2,Ventral,0.0132,0.768,1.5e-4,0.00242,enriched
BMPR1A,Ventral,0.4657,0.768,9.04e-23,8.24e-20,enriched
CADPS2,Ventral,0.4666,0.766,5.29e-13,5.57e-11,enriched
SUSD3,Ventral,0.0907,0.765,3.78e-8,1.43e-6,enriched
ARHGAP39,Ventral,0.1275,0.763,2.97e-18,8.68e-16,enriched
SPHKAP,Ventral,0.0735,0.761,7.49e-8,2.68e-6,enriched
GABRG2,Ventral,0.0063,0.759,0.0018,0.0207,enriched
LOC101751053,Ventral,0.0173,0.754,1.71e-4,0.00273,enriched
LOC101749311,Ventral,0.0311,0.753,9.3e-5,0.00159,enriched
CRISPLD1,Ventral,0.1378,0.753,2.15e-13,2.45e-11,enriched
KCNB2,Ventral,0.1517,0.752,1.03e-8,4.44e-7,enriched
LOC107054876,Ventral,0.0048,0.75,0.00229,0.0251,enriched
PMEPA1,Ventral,0.6887,0.745,1.35e-20,7.44e-18,enriched
RGMB,Ventral,0.0939,0.744,2.67e-7,8.52e-6,enriched
ZIC4,Ventral,0.0528,0.743,1.75e-5,3.67e-4,enriched
LOC112530227,Ventral,0.0101,0.741,8.45e-4,0.011,enriched
LOC101747820,Ventral,0.0087,0.741,9.15e-4,0.0117,enriched
LOC107052837,Ventral,0.0417,0.74,1.69e-5,3.57e-4,enriched
MOB3C,Ventral,0.0169,0.738,1e-6,2.78e-5,enriched
LOC107052156,Ventral,0.0242,0.735,6.17e-7,1.8e-5,enriched
ADGRD2,Ventral,0.0384,0.735,3.01e-5,5.94e-4,enriched
CYP26A1,Ventral,0.0319,0.734,7.03e-4,0.00937,enriched
GLRA4,Ventral,0.0169,0.733,6.74e-4,0.00904,enriched
LOC101748470,Ventral,0.1294,0.731,1.04e-10,6.96e-9,enriched
KIAA1549L,Ventral,0.136,0.73,1.25e-9,6.73e-8,enriched
LRRN2,Ventral,0.062,0.728,3.49e-4,0.00509,enriched
DISC1,Ventral,0.1327,0.726,1.43e-7,4.79e-6,enriched
RGS3,Ventral,0.5807,0.723,7.85e-13,7.98e-11,enriched
HIST1H2B5L,Ventral,0.1801,0.722,2.41e-9,1.21e-7,enriched
BNC2,Ventral,0.0554,0.722,4.73e-7,1.41e-5,enriched
IQGAP2,Ventral,0.0702,0.719,2.24e-10,1.4e-8,enriched
LOC112529987,Ventral,0.0039,0.718,0.00461,0.0449,enriched
LOC107051596,Ventral,0.0174,0.716,1.14e-6,3.14e-5,enriched
RARB,Ventral,1.055,0.713,8.77e-13,8.84e-11,enriched
KCNQ3,Ventral,0.0784,0.711,2.19e-7,7.13e-6,enriched
WFDC1,Ventral,0.0664,0.709,1.98e-6,5.14e-5,enriched
GRIK3,Ventral,0.3134,0.709,1.04e-10,6.96e-9,enriched
LOC112531955,Ventral,0.0209,0.707,0.00172,0.0199,enriched
KCNC4,Ventral,0.0078,0.707,0.00315,0.0329,enriched
THRB,Ventral,0.2573,0.704,0.0043,0.0424,enriched
SKAP1,Ventral,0.0063,0.704,0.0052,0.0493,enriched
LOC107054840,Ventral,0.0183,0.703,3.35e-6,8.26e-5,enriched
LOC107053374,Ventral,0.0053,0.7,0.00199,0.0225,enriched
DHRS3,Ventral,0.0779,0.697,6.91e-7,1.99e-5,enriched
CHN2,Ventral,0.2318,0.69,3.8e-10,2.26e-8,enriched
ALK,Ventral,0.0082,0.689,0.00386,0.0388,enriched
FAM129A,Ventral,0.0298,0.685,0.00244,0.0265,enriched
KSR1,Ventral,0.4089,0.684,3.94e-22,3.01e-19,enriched
HMP19,Ventral,0.0405,0.681,0.00459,0.0448,enriched
THBS4,Ventral,0.0395,0.681,1.07e-4,0.0018,enriched
CRNN,Ventral,0.1216,0.68,1.16e-15,2.03e-13,enriched
FRMD4B,Ventral,0.0195,0.678,0.0021,0.0233,enriched
MDGA1,Ventral,0.2155,0.678,1.4e-5,3.02e-4,enriched
CMTM7,Ventral,0.0567,0.676,8.21e-8,2.9e-6,enriched
LRRN1,Ventral,0.5485,0.674,2.02e-17,4.94e-15,enriched
ADAM12,Ventral,0.0579,0.674,0.00352,0.0362,enriched
CDON,Ventral,0.4011,0.673,2.73e-17,6.42e-15,enriched
PPFIA2,Ventral,0.3647,0.672,1.68e-8,6.87e-7,enriched
LOC112533405,Ventral,0.01,0.672,0.00442,0.0433,enriched
LOC107055044,Ventral,0.0337,0.672,1.68e-6,4.48e-5,enriched
GRIA3,Ventral,0.1944,0.672,6.63e-7,1.92e-5,enriched
ATP6AP1,Ventral,0.1574,0.671,6.93e-14,8.64e-12,enriched
IGDCC3,Ventral,0.2309,0.67,3.5e-18,9.99e-16,enriched
OCA2,Ventral,0.0631,0.669,9.34e-5,0.00159,enriched
C3orf70,Ventral,0.068,0.668,4.3e-11,3.1e-9,enriched
ST3GAL4,Ventral,0.0425,0.666,1.68e-7,5.58e-6,enriched
MYC,Ventral,0.0328,0.661,3.86e-6,9.38e-5,enriched
LOC107051815,Ventral,0.0163,0.66,0.00107,0.0132,enriched
SORBS1,Ventral,0.0711,0.66,9.36e-7,2.64e-5,enriched
TSPAN5,Ventral,1.0052,0.659,1.24e-17,3.24e-15,enriched
OLFML2B,Ventral,0.1389,0.656,4.57e-15,7.13e-13,enriched
AOX1,Ventral,0.1174,0.655,7.14e-12,6.02e-10,enriched
CNTN4,Ventral,0.0708,0.654,0.00202,0.0227,enriched
PMP22,Ventral,0.2587,0.653,8.64e-9,3.8e-7,enriched
TMEM132E,Ventral,0.0694,0.651,4.34e-9,2.03e-7,enriched
FZD7,Ventral,0.1339,0.647,2.75e-15,4.59e-13,enriched
NSMAF,Ventral,0.0441,0.645,1.13e-4,0.00189,enriched
DENND3,Ventral,0.1051,0.645,1.51e-8,6.25e-7,enriched
RNF213,Ventral,0.0163,0.641,0.00194,0.022,enriched
PLEKHA2,Ventral,0.2536,0.64,3.72e-17,8.56e-15,enriched
C22H8ORF4,Ventral,0.0273,0.639,4.67e-4,0.00659,enriched
AOX2,Ventral,0.1101,0.639,3.5e-7,1.09e-5,enriched
CECR1,Ventral,0.0141,0.637,0.00115,0.014,enriched
CLSTN2,Ventral,0.3685,0.634,4.66e-11,3.33e-9,enriched
SERINC5,Ventral,0.3051,0.633,4.44e-5,8.36e-4,enriched
EFNA5,Ventral,0.7614,0.633,4.9e-5,9.13e-4,enriched
PLOD2,Ventral,0.6112,0.632,2.42e-18,7.56e-16,enriched
LOC107054405,Ventral,0.0208,0.631,1.43e-4,0.00234,enriched
CYP7B1,Ventral,0.1193,0.631,3.21e-7,1.01e-5,enriched
WIPF3,Ventral,0.0118,0.627,2.92e-4,0.00437,enriched
VSTM2B,Ventral,0.3614,0.626,1.3e-8,5.48e-7,enriched
LOC107055055,Ventral,0.06,0.623,2.49e-4,0.00381,enriched
LOC112531956,Ventral,0.034,0.622,8.11e-6,1.86e-4,enriched
TMOD2,Ventral,0.1601,0.621,4.07e-17,9.27e-15,enriched
CHRNA7,Ventral,0.0271,0.619,6.8e-5,0.00121,enriched
ABLIM2,Ventral,0.0367,0.618,2.6e-4,0.00395,enriched
CUX2,Ventral,0.1106,0.616,1.09e-6,3.01e-5,enriched
LOC112530586,Ventral,0.0151,0.614,2e-5,4.12e-4,enriched
COTL1,Ventral,0.8338,0.612,6.29e-17,1.33e-14,enriched
FGL1,Ventral,0.3069,0.612,4.05e-10,2.4e-8,enriched
CHL1,Ventral,0.2451,0.61,1.89e-5,3.92e-4,enriched
GPR17,Ventral,0.0506,0.61,3.94e-7,1.2e-5,enriched
LOC101750908,Ventral,0.0285,0.607,1.78e-6,4.71e-5,enriched
COL26A1,Ventral,0.0194,0.604,7.34e-4,0.00972,enriched
ASIC1,Ventral,0.0262,0.604,9.95e-4,0.0125,enriched
SVIL,Ventral,0.4307,0.603,2.97e-12,2.71e-10,enriched
HS3ST3B1L,Ventral,0.2623,0.602,2.19e-7,7.13e-6,enriched
SOX21,Ventral,0.9296,0.601,1.13e-12,1.11e-10,enriched
FGD5,Ventral,0.0417,0.6,1.15e-5,2.53e-4,enriched
CCDC177,Ventral,0.0604,0.599,9.34e-8,3.25e-6,enriched
LOC423301,Ventral,0.0271,0.598,6.23e-4,0.00847,enriched
PRSS23,Ventral,0.0377,0.597,0.00208,0.0232,enriched
TPBG,Ventral,0.0804,0.597,5.01e-8,1.85e-6,enriched
GAMT,Ventral,0.0315,0.596,0.00148,0.0175,enriched
FAM43A,Ventral,1.0551,0.594,2.72e-10,1.67e-8,enriched
WSCD2,Ventral,0.15,0.592,2.54e-6,6.42e-5,enriched
VLDLR,Ventral,0.0513,0.592,1.42e-7,4.79e-6,enriched
MTCL1,Ventral,0.3575,0.591,1.45e-10,9.34e-9,enriched
S100A13,Ventral,0.4455,0.59,8.66e-4,0.0112,enriched
MIR1806,Ventral,0.0591,0.586,1.34e-5,2.9e-4,enriched
ERMN,Ventral,0.3166,0.586,1.78e-6,4.7e-5,enriched
NOX4,Ventral,0.4241,0.585,2.83e-10,1.72e-8,enriched
FHDC1,Ventral,0.0537,0.584,1.45e-6,3.9e-5,enriched
CLMP,Ventral,0.2823,0.582,2.42e-14,3.28e-12,enriched
GLI2,Ventral,0.5661,0.582,9.69e-10,5.35e-8,enriched
SEMA6A,Ventral,1.199,0.582,6.86e-7,1.98e-5,enriched
PRKG2,Ventral,0.0214,0.581,0.00156,0.0184,enriched
CPEB4,Ventral,0.08,0.579,1.18e-4,0.00196,enriched
DUSP10,Ventral,0.0794,0.579,1.03e-6,2.84e-5,enriched
AK5,Ventral,0.0195,0.579,8.38e-5,0.00145,enriched
KCNMA1,Ventral,0.3234,0.578,5.14e-12,4.45e-10,enriched
SHANK2,Ventral,1.1509,0.577,1.01e-9,5.53e-8,enriched
CHEK1,Ventral,0.504,0.575,4.39e-15,6.89e-13,enriched
TMEM200C,Ventral,0.0761,0.574,9.91e-10,5.44e-8,enriched
ACAP3,Ventral,0.259,0.574,1.49e-9,7.84e-8,enriched
CCDC40,Ventral,0.0144,0.573,1.29e-4,0.00213,enriched
AOAH,Ventral,0.0444,0.572,0.00144,0.0171,enriched
PLK3,Ventral,0.2478,0.572,1.73e-10,1.09e-8,enriched
LOC112529918,Ventral,0.5324,0.568,6.54e-17,1.37e-14,enriched
DBNDD2,Ventral,0.3658,0.567,3.64e-7,1.13e-5,enriched
DPH1,Ventral,0.1226,0.565,3.73e-6,9.08e-5,enriched
MCAM,Ventral,0.485,0.565,2.37e-8,9.36e-7,enriched
DMD,Ventral,0.281,0.562,1.42e-11,1.14e-9,enriched
LOC107052597,Ventral,0.0244,0.562,1.07e-4,0.0018,enriched
GPAM,Ventral,0.2585,0.561,3.65e-10,2.19e-8,enriched
ABCC8,Ventral,0.0283,0.56,3.38e-5,6.58e-4,enriched
SLC22A15L,Ventral,0.0141,0.559,3.08e-4,0.00457,enriched
EPHX1,Ventral,0.0777,0.558,2.79e-6,6.98e-5,enriched
ZIC5,Ventral,0.1332,0.554,4.96e-5,9.23e-4,enriched
TENM3,Ventral,1.8829,0.551,5.16e-17,1.12e-14,enriched
ZFAND2A,Ventral,0.117,0.55,2.08e-8,8.32e-7,enriched
EIF2AK2,Ventral,0.0256,0.547,1.57e-5,3.35e-4,enriched
GMFB,Ventral,0.4066,0.546,8.72e-15,1.29e-12,enriched
EGFL7,Ventral,0.0397,0.545,0.00102,0.0127,enriched
LGI3,Ventral,0.0232,0.545,0.0012,0.0145,enriched
SUSD6,Ventral,0.3156,0.545,4.76e-8,1.76e-6,enriched
NFIC,Ventral,0.2841,0.543,1.38e-12,1.35e-10,enriched
ZIC2,Ventral,0.6951,0.54,5.83e-13,6.06e-11,enriched
LOC101748220,Ventral,0.0236,0.54,9.84e-5,0.00166,enriched
SPECC1,Ventral,0.173,0.537,7.97e-11,5.4e-9,enriched
LOC112530201,Ventral,0.0812,0.534,1.73e-6,4.59e-5,enriched
KLHL29,Ventral,0.7721,0.534,1.29e-15,2.25e-13,enriched
DOCK11,Ventral,0.0805,0.533,4.97e-5,9.25e-4,enriched
TMEM47,Ventral,0.1752,0.532,4.77e-9,2.23e-7,enriched
LOC101750575,Ventral,0.1809,0.532,5.06e-9,2.34e-7,enriched
MIR135A1,Ventral,0.0353,0.531,1.26e-4,0.00208,enriched
TTC9,Ventral,0.1508,0.529,6.61e-6,1.55e-4,enriched
LOC112531540,Ventral,0.0148,0.528,0.00269,0.0288,enriched
LRIG2,Ventral,0.3469,0.528,2.65e-14,3.57e-12,enriched
SBK1,Ventral,0.0776,0.524,3.01e-5,5.94e-4,enriched
FGR,Ventral,0.0478,0.524,5.99e-7,1.75e-5,enriched
LOC107055293,Ventral,0.162,0.52,2.66e-11,1.98e-9,enriched
STOX1,Ventral,0.0143,0.52,0.00104,0.0129,enriched
LSAMP,Ventral,0.7302,0.519,6.51e-7,1.89e-5,enriched
SAT1,Ventral,0.4686,0.519,0.00164,0.0191,enriched
GP5,Ventral,0.0156,0.517,0.00228,0.025,enriched
MAF,Ventral,0.8087,0.516,8.98e-14,1.09e-11,enriched
NLGN3,Ventral,0.0271,0.516,5.62e-6,1.33e-4,enriched
TPPP,Ventral,0.0644,0.513,3.26e-5,6.36e-4,enriched
ARL4C,Ventral,1.1053,0.513,1.39e-10,9.03e-9,enriched
LOC107053589,Ventral,0.0326,0.512,0.0015,0.0177,enriched
ZDHHC21,Ventral,0.0484,0.512,9.54e-4,0.0121,enriched
ASB9,Ventral,0.0596,0.511,1.26e-5,2.75e-4,enriched
HDAC9,Ventral,0.6862,0.511,6.33e-19,2.29e-16,enriched
S100A1,Ventral,0.0858,0.511,2.15e-4,0.00336,enriched
ANGPTL4,Ventral,0.0179,0.509,6.35e-4,0.0086,enriched
FREM2,Ventral,0.1089,0.508,1.25e-4,0.00207,enriched
PDLIM4,Ventral,0.2103,0.506,1.61e-9,8.41e-8,enriched
PCCA,Ventral,0.6822,0.504,2.56e-12,2.36e-10,enriched
CADM2,Ventral,1.6452,0.503,2.54e-9,1.26e-7,enriched
ANKH,Ventral,0.1296,0.501,5.5e-8,2.01e-6,enriched
NES,Ventral,1.4694,0.5,2.13e-15,3.61e-13,enriched
RASGEF1C,Ventral,0.0364,0.498,5.96e-6,1.41e-4,enriched
HSD17B11L,Ventral,0.049,0.498,3.36e-4,0.00494,enriched
COX16,Ventral,0.3476,0.498,1.58e-16,3.18e-14,enriched
CDH3,Ventral,0.1914,0.497,3.04e-6,7.53e-5,enriched
FAM19A3,Ventral,0.0326,0.497,6.75e-5,0.0012,enriched
TRIM66,Ventral,0.0122,0.496,0.00279,0.0297,enriched
TMEM260,Ventral,0.1398,0.496,9.21e-6,2.09e-4,enriched
LOC112533449,Ventral,0.0514,0.494,9.08e-4,0.0117,enriched
EPAS1,Ventral,0.3149,0.492,2.32e-12,2.17e-10,enriched
LOC107053275,Ventral,0.0179,0.49,0.00434,0.0426,enriched
LOC107051837,Ventral,0.0848,0.49,2.68e-4,0.00406,enriched
ENHO,Ventral,0.0423,0.489,1.5e-4,0.00242,enriched
LOC107054545,Ventral,0.0441,0.488,4.56e-4,0.00647,enriched
BOC,Ventral,0.1502,0.486,2.82e-11,2.09e-9,enriched
GDF3,Ventral,1.0575,0.479,4.6e-19,1.73e-16,enriched
SLC39A11,Ventral,0.0915,0.475,9.28e-6,2.1e-4,enriched
SCRN1,Ventral,0.8026,0.475,2.56e-11,1.92e-9,enriched
FAM169A,Ventral,0.0821,0.473,0.00108,0.0133,enriched
PIM3,Ventral,0.3187,0.471,7.79e-11,5.29e-9,enriched
ST8SIA1,Ventral,0.6315,0.467,2.34e-10,1.46e-8,enriched
GGH,Ventral,0.2431,0.467,3.44e-13,3.75e-11,enriched
LOC107054103,Ventral,0.028,0.467,3.57e-4,0.0052,enriched
SALL4,Ventral,0.071,0.466,5.58e-6,1.33e-4,enriched
STK38L,Ventral,0.8448,0.465,4.55e-12,4.02e-10,enriched
LOC107054281,Ventral,0.052,0.465,0.00232,0.0253,enriched
KCND2,Ventral,0.1059,0.464,3.96e-4,0.00571,enriched
CDKL2,Ventral,0.0813,0.464,1.17e-5,2.59e-4,enriched
SENP5,Ventral,0.2129,0.463,5.75e-11,4.02e-9,enriched
CAMKMT,Ventral,0.3172,0.461,1.38e-8,5.77e-7,enriched
DPP6,Ventral,0.086,0.457,0.00199,0.0225,enriched
PAK1,Ventral,0.4101,0.456,7.99e-12,6.66e-10,enriched
INTS3,Ventral,0.1146,0.456,1.32e-8,5.53e-7,enriched
FAT4,Ventral,0.0978,0.456,0.00245,0.0266,enriched
HOMER3,Ventral,0.0981,0.455,3.18e-10,1.92e-8,enriched
MTSS1,Ventral,0.6544,0.454,1.11e-6,3.05e-5,enriched
PCDH7,Ventral,1.6556,0.452,3.17e-14,4.18e-12,enriched
JAM3,Ventral,0.7342,0.448,1.36e-9,7.27e-8,enriched
TP53I11,Ventral,0.6225,0.446,8.15e-7,2.32e-5,enriched
CREB5,Ventral,0.7776,0.443,2.97e-7,9.37e-6,enriched
NEK6,Ventral,0.5481,0.441,7.11e-13,7.3e-11,enriched
TRIQK,Ventral,0.0577,0.441,9.84e-7,2.75e-5,enriched
CRBN,Ventral,0.0982,0.44,2.57e-8,1.01e-6,enriched
LOC419500,Ventral,0.0746,0.44,3.68e-5,7.11e-4,enriched
TET2,Ventral,0.54990000000000006,0.44,1.08e-10,7.18e-9,enriched
LOC107055013,Ventral,0.0954,0.438,8.49e-6,1.94e-4,enriched
PDXK,Ventral,0.1851,0.437,2.13e-13,2.44e-11,enriched
ITGB5,Ventral,0.5409,0.436,1.65e-12,1.59e-10,enriched
HIST1H3H,Ventral,0.0187,0.434,0.00303,0.0319,enriched
GAA,Ventral,0.0235,0.429,0.00495,0.0472,enriched
FBLN1,Ventral,0.0273,0.428,0.00337,0.0347,enriched
LARGE1,Ventral,0.3518,0.427,1.4e-10,9.06e-9,enriched
ABAT,Ventral,0.1874,0.427,5.3e-9,2.43e-7,enriched
TRIM2,Ventral,0.3956,0.425,9.55e-5,0.00162,enriched
ANGPTL2,Ventral,0.0347,0.424,5.11e-5,9.45e-4,enriched
VAV3,Ventral,0.0396,0.424,6.92e-4,0.00924,enriched
FAM69C,Ventral,0.2571,0.423,3.84e-5,7.38e-4,enriched
CD151,Ventral,0.0756,0.423,3.19e-4,0.00472,enriched
SPATA13,Ventral,0.4489,0.421,8.47e-9,3.73e-7,enriched
HS3ST3B1,Ventral,0.2237,0.421,0.0022,0.0243,enriched
ABCA5,Ventral,0.1107,0.42,1.81e-5,3.78e-4,enriched
CCDC152Z,Ventral,0.064,0.42,0.00411,0.0409,enriched
RCSD1,Ventral,0.0623,0.419,2.11e-5,4.31e-4,enriched
NR2F1,Ventral,1.0185,0.418,3.5e-5,6.8e-4,enriched
PDE1B,Ventral,0.0313,0.417,0.00221,0.0244,enriched
SYAP1,Ventral,0.298,0.416,7.7e-9,3.42e-7,enriched
TLL1,Ventral,1.1178,0.416,1.83e-8,7.42e-7,enriched
DAAM1,Ventral,1.2864,0.416,4.25e-18,1.2e-15,enriched
LRRC75A,Ventral,0.1662,0.415,7.69e-8,2.74e-6,enriched
PLXNB2,Ventral,0.4601,0.414,5.8e-8,2.11e-6,enriched
PDE3A,Ventral,0.241,0.414,0.00415,0.0412,enriched
GALNT1,Ventral,1.1753,0.414,9.82e-13,9.74e-11,enriched
TCF7,Ventral,0.5594,0.412,1.18e-5,2.6e-4,enriched
LOC417113,Ventral,1.2844,0.412,5.74e-9,2.62e-7,enriched
TMEM14C,Ventral,0.1332,0.412,7.29e-8,2.61e-6,enriched
CERS1,Ventral,0.1481,0.411,1.09e-6,3e-5,enriched
LOC112530549,Ventral,0.1093,0.411,2.3e-4,0.00355,enriched
AMER1,Ventral,0.1789,0.41,2.18e-12,2.05e-10,enriched
MAB21L1,Ventral,1.075,0.409,1.69e-10,1.07e-8,enriched
FOXP4L,Ventral,0.3092,0.409,7.41e-7,2.13e-5,enriched
MAP7,Ventral,0.3743,0.409,3.48e-4,0.00508,enriched
AFF1,Ventral,0.1932,0.409,9.7e-5,0.00165,enriched
PLK2,Ventral,0.0849,0.408,9.63e-5,0.00164,enriched
MRPS27,Ventral,0.1129,0.407,3.64e-4,0.00529,enriched
GPR37,Ventral,0.4518,0.405,1.09e-10,7.26e-9,enriched
PIK3C2B,Ventral,0.1873,0.405,3.78e-8,1.43e-6,enriched
TESC,Ventral,0.0367,0.404,0.00509,0.0484,enriched
LY6E,Ventral,0.1603,0.404,8.11e-4,0.0106,enriched
SESN3,Ventral,0.1935,0.4,3.49e-4,0.00509,enriched
TIMP2,Ventral,0.2792,0.398,2.85e-8,1.11e-6,enriched
CD276,Ventral,0.2303,0.397,7.94e-14,9.76e-12,enriched
LOC101749281,Ventral,0.0178,0.396,0.00119,0.0145,enriched
MITF,Ventral,0.1945,0.394,1.45e-5,3.12e-4,enriched
KIZ,Ventral,0.1541,0.391,6.79e-7,1.96e-5,enriched
PARP12,Ventral,0.0488,0.39,0.00354,0.0362,enriched
XYLT1,Ventral,0.1647,0.388,4.25e-4,0.00608,enriched
KIF28P,Ventral,0.0155,0.388,0.00378,0.0381,enriched
NR3C1,Ventral,0.4531,0.387,2.47e-9,1.23e-7,enriched
SEPT9,Ventral,0.5104,0.386,3.32e-14,4.35e-12,enriched
FIGN,Ventral,0.5259,0.386,5.01e-10,2.94e-8,enriched
RAI1,Ventral,0.45,0.385,1.32e-9,7.05e-8,enriched
MPZL1,Ventral,0.2691,0.384,3.25e-8,1.25e-6,enriched
PIH1D3,Ventral,0.0953,0.384,7.27e-4,0.00963,enriched
C5H11ORF9,Ventral,0.0431,0.384,0.00137,0.0164,enriched
NID1,Ventral,0.2791,0.383,1.23e-4,0.00204,enriched
LOC107052612,Ventral,0.0263,0.381,9.47e-4,0.012,enriched
ELMO1,Ventral,1.4363,0.381,1.59e-10,1.01e-8,enriched
EPB41L4B,Ventral,0.148,0.381,6.1e-6,1.44e-4,enriched
ARHGAP18,Ventral,0.5857,0.381,5.29e-8,1.94e-6,enriched
EDA,Ventral,0.2591,0.381,3.64e-5,7.06e-4,enriched
PDZRN3,Ventral,0.343,0.38,5.95e-9,2.7e-7,enriched
WBSCR27,Ventral,0.1435,0.38,2.67e-7,8.52e-6,enriched
ANKRD33,Ventral,0.2223,0.377,5.81e-4,0.00798,enriched
FAM53A,Ventral,0.3175,0.376,1.76e-9,9.17e-8,enriched
SOX1,Ventral,0.253,0.375,4.23e-9,2e-7,enriched
SPARC,Ventral,0.2872,0.375,6.77e-10,3.9e-8,enriched
ZC3H12C,Ventral,0.5671,0.373,2.74e-12,2.51e-10,enriched
SYCN,Ventral,0.0194,0.373,0.00455,0.0445,enriched
FOXI3,Ventral,0.3958,0.373,3.03e-7,9.54e-6,enriched
MEGF9,Ventral,0.1202,0.372,4.55e-5,8.53e-4,enriched
RBFOX3,Ventral,0.1768,0.372,1.56e-8,6.45e-7,enriched
CRB1,Ventral,0.5122,0.372,0.00286,0.0303,enriched
SELENOP1,Ventral,0.3796,0.371,2.96e-4,0.0044,enriched
MDM1,Ventral,0.3704,0.365,8.41e-8,2.96e-6,enriched
CKMT1A,Ventral,1.1337,0.365,6.96e-12,5.89e-10,enriched
MBOAT1,Ventral,0.6401,0.363,9.93e-8,3.44e-6,enriched
COLGALT2,Ventral,0.2312,0.363,2.36e-7,7.63e-6,enriched
PRKAA2,Ventral,0.1503,0.363,2.49e-7,8.03e-6,enriched
GADD45B,Ventral,0.4017,0.362,1.44e-4,0.00235,enriched
TLX2,Ventral,0.1121,0.362,0.00143,0.017,enriched
CDK6,Ventral,0.6639,0.361,5.87e-9,2.67e-7,enriched
DPYSL4,Ventral,0.1477,0.361,0.00257,0.0277,enriched
DENND5B,Ventral,0.6288,0.357,5.87e-5,0.00107,enriched
MIR1650,Ventral,0.5154,0.357,4.04e-8,1.51e-6,enriched
NCAN,Ventral,0.0552,0.357,0.00117,0.0143,enriched
NCOA7,Ventral,0.2677,0.357,7.13e-6,1.66e-4,enriched
PCNX4,Ventral,0.1166,0.357,2.99e-6,7.43e-5,enriched
EMID1,Ventral,0.0459,0.354,0.0025,0.027,enriched
EML6,Ventral,0.1912,0.352,4.51e-6,1.09e-4,enriched
QPCT,Ventral,0.0879,0.352,0.00103,0.0128,enriched
LDB2,Ventral,0.4701,0.352,9.97e-10,5.46e-8,enriched
OSBPL2,Ventral,1.1392,0.351,1.65e-16,3.29e-14,enriched
C9H3orf58,Ventral,0.1832,0.351,1.9e-5,3.94e-4,enriched
HEYL,Ventral,0.3421,0.349,1.15e-6,3.16e-5,enriched
OXR1,Ventral,0.6131,0.347,3.44e-12,3.07e-10,enriched
LOC100858311,Ventral,0.0588,0.346,0.00256,0.0276,enriched
CD38,Ventral,0.2403,0.346,1.19e-5,2.62e-4,enriched
ATP1B1,Ventral,0.1081,0.345,1.49e-4,0.00241,enriched
ANKRD6,Ventral,0.8315,0.344,0.00125,0.0151,enriched
